year,region,seed_variety,rainfall_mm,temperature_c,fertilizer_kg_ha,soil_ph,soil_organic_matter_pct,field_size_ha,pests_index,irrigated,yield_t_ha
2016,North East,Improved A,1046.8,24.84,61.0,5.84,2.16,1.98,3.17,0,4.34
2013,South East,Local,1103.1,27.18,30.7,6.47,1.99,1.01,1.86,0,4.26
2022,North East,Local,1271.5,29.34,127.8,5.92,1.59,1.95,1.33,0,3.75
2020,North East,Improved A,1283.6,26.79,95.1,5.78,2.41,3.38,3.17,0,4.47
2017,North West,Local,1364.6,23.61,97.5,5.51,2.11,1.15,4.58,1,3.85
2022,North East,Improved A,1702.6,26.89,,5.15,2.01,5.81,0.74,1,4.62
2014,North Central,Improved B,1155.8,28.39,53.5,5.97,1.51,1.2,2.15,0,4.2
2016,South South,Improved A,1000.4,24.78,58.0,6.29,,1.68,1.39,0,5.03
2019,South South,Improved B,855.2,25.73,77.8,6.14,2.33,1.1,2.02,0,4.58
2012,South East,Local,1017.3,26.03,112.6,,1.72,1.89,1.54,1,4.58
2016,North East,Improved A,1191.7,24.43,50.0,5.63,2.5,0.58,2.39,1,4.83
2020,North Central,Local,1648.6,27.3,77.1,6.56,1.75,1.19,5.37,1,4.29
2020,South East,Improved B,1070.6,25.76,31.6,5.41,1.61,0.86,1.69,0,3.94
2017,North West,Improved B,1255.9,26.84,16.1,6.67,1.62,1.79,4.22,0,4.55
2014,South East,Improved B,1195.9,24.23,34.4,5.6,1.11,2.99,3.26,0,3.71
2013,South East,Local,1497.1,25.13,130.0,5.75,2.24,2.43,5.67,0,4.0
2017,North East,Local,1831.7,27.44,78.2,5.32,1.08,0.4,0.71,0,3.84
2017,North West,Local,,25.25,17.6,5.9,1.39,5.61,0.62,0,3.62
2012,South East,Local,1077.6,29.45,80.7,6.79,0.96,1.97,2.08,0,4.36
2015,North Central,Improved B,1461.0,25.2,18.9,6.51,1.96,1.03,2.78,1,4.8
2014,North Central,Improved B,1370.5,26.45,66.0,6.79,1.92,1.81,3.88,1,4.76
2011,South South,Improved A,1661.7,27.87,22.6,6.51,1.84,1.83,1.37,0,4.39
2017,North West,Improved A,1346.0,23.16,16.6,5.54,1.48,1.11,0.43,0,4.07
2021,North West,Local,1110.2,22.48,144.4,,1.41,1.86,7.03,0,4.24
2023,South South,Improved B,1347.7,22.95,38.3,5.73,2.23,1.15,2.03,0,4.19
2015,South East,Improved B,1477.2,28.53,,7.0,1.72,1.29,4.64,1,4.67
2011,North West,Improved B,1405.1,24.9,51.6,5.48,2.16,1.09,1.2,1,4.07
2021,North Central,Improved A,1326.8,31.12,20.4,6.74,1.56,0.7,2.28,0,4.02
2014,North Central,Improved A,1466.7,24.87,41.7,6.74,,1.8,0.9,0,5.17
2010,North East,Improved B,1492.3,26.37,20.5,7.3,2.65,2.34,6.49,0,3.71
2021,North West,Improved B,1545.5,29.08,213.7,5.95,2.29,2.25,1.86,0,4.36
2019,South East,Improved B,1362.2,30.01,87.0,6.63,1.79,2.7,0.7,0,4.44
2015,South South,Improved A,1158.2,30.12,50.9,7.57,2.13,2.0,5.45,1,3.64
2022,South South,Improved B,1236.7,28.42,74.3,5.83,,1.2,2.08,0,3.76
